term,brd & ggp & panc,brd & ggp & kras-mapk,panc & ggp & kras-mapk,brd & ggp & kras-mapk & panc,panc & ggp & kras-mapk set,brd & ggp set,GGP & Panc connection,BRD & GGP connection,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,smo,itraconazole,HY-L025-58,E06,HY-17514,Itraconazole,R51211,84625-61-6,705.63,Antibiotic; Autophagy; Bacterial; Cytochrome P450; Fungal; Hedgehog,Anti-infection; Autophagy; Metabolic Enzyme/Protease; Stem Cell/Wnt,"Itraconazole (R51211) is a triazole antifungal agent and a potent and orally active Hedgehog (Hh) signaling pathway antagonist with an IC50 of ~800 nM. Itraconazole potently inhibits lanosterol 14α-demethylase (cytochrome P450 enzyme), thereby inhibits the oxidative conversion of lanosterol to ergosterol. Itraconazole has anticancer and antiangiogenic effects. Itraconazole is a oxysterol-binding protein (OSBP) inhibitor[1][2][3][4].",C35H38Cl2N8O4,DMSO : 6.25 mg/mL (8.86 mM; Need ultrasonic),2mM,Infection; Cancer,Launched,ClC1=C(C=CC(Cl)=C1)[C@@]2(O[C@@H](COC3=CC=C(N4CCN(C5=CC=C(N(C=NN6C(C)CC)C6=O)C=C5)CC4)C=C3)CO2)CN7C=NC=N7
,,,,,,,,,,,,,,,,smo,resveratrol,HY-L025-56,C11,HY-16561,Resveratrol,trans-Resveratrol; SRT501,501-36-0,228.24,Antibiotic; Apoptosis; Autophagy; Bacterial; Fungal; IKK; Keap1-Nrf2; Mitophagy; Sirtuin,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics; NF-κB,"Resveratrol (trans-Resveratrol; SRT501), a natural polyphenolic phytoalexin that possesses anti-oxidant, anti-inflammatory, cardioprotective, and anti-cancer properties. Resveratrol (SRT 501) has a wide spectrum of targets including mTOR, JAK, β-amyloid, Adenylyl cyclase, IKKβ, DNA polymerase. Resveratrol also is a specific SIRT1 activator[1][2][3][4]. Resveratrol is a potent pregnane X receptor (PXR) inhibitor[5]. Resveratrol is an Nrf2 activator, ameliorates aging-related progressive renal injury in mice model[6]. Resveratrol increases production of NO in endothelial cells[7].",C14H12O3,DMSO : 100 mg/mL (438.14 mM; Need ultrasonic); Ethanol : 50 mg/mL (219.07 mM; Need ultrasonic),10mM,Cancer; Infection; Inflammation/Immunology,Launched,OC1=CC=C(/C=C/C2=CC(O)=CC(O)=C2)C=C1
,,,,,,,,,,,,,,,,smo,cyclopamine,HY-L025-57,F03,HY-17024,Cyclopamine,11-Deoxojervine,4449-51-8,411.62,Endogenous Metabolite; Hedgehog; Smo,Metabolic Enzyme/Protease; Stem Cell/Wnt,Cyclopamine is a Hedgehog (Hh) pathway antagonist with an IC50 of 46 nM in the Hh cell assay. Cyclopamine is also a selective Smo inhibitor.,C27H41NO2,DMSO : 10 mg/mL (24.29 mM; ultrasonic and warming and heat to 80°C); Ethanol : 20 mg/mL (48.59 mM; Need ultrasonic),10mM,Cancer,No Development Reported,CC1=C2[C@@]([C@@]3([H])[C@]([C@@]4(C(C[C@@H](O)CC4)=CC3)C)([H])C2)([H])CC[C@@]15[C@@H]([C@@]6([H])[C@](C[C@H](C)CN6)([H])O5)C
,,,,,,,,,,,,,,,,smo,jervine,HY-L025-76,F06,HY-N0836,Jervine,11-Ketocyclopamine,469-59-0,425.6,Hedgehog; Smo,Stem Cell/Wnt,Jervine (11-Ketocyclopamine) is a potent Hedgehog (Hh) inhibitor with an IC50 of 500-700 nM[1]. Jervine is a natural teratogenic sterodial alkaloid from rhizomes of Veratrum nigrum. Jervine has anti-inflammatory and antioxidant properties[2].,C27H39NO3,DMSO : 1 mg/mL (2.35 mM; Need ultrasonic),2mM,Cancer; Inflammation/Immunology,No Development Reported,O=C1[C@]2([H])[C@]3(C)C(C[C@@H](O)CC3)=CC[C@@]2([H])[C@]4([H])CC[C@]5(O[C@@]6([H])[C@@]([C@H]5C)([H])NC[C@@H](C)C6)C(C)=C41
,,,,,,,,,,,,,,,,smo,hhantag,HY-L025-51,G11,HY-15412,HhAntag,,496794-70-8,450.92,Smo,Stem Cell/Wnt,"HhAntag is a specific, potent and orally active small molecule SMO antagonist of the Hh pathway[1].",C24H23ClN4O3,DMSO : ≥ 100 mg/mL (221.77 mM),10mM,Cancer,No Development Reported,O=C(NC1=CC=C(Cl)C(C2=NC3=CC=C(N(C)C)C=C3N2)=C1)C4=CC(OC)=CC(OC)=C4
,,,,,,,,,,,,,,,,twist1,harmine,HY-L025-76,A07,HY-N0737A,Harmine,Telepathine,442-51-3,212.25,5-HT Receptor; DYRK,GPCR/G Protein; Neuronal Signaling; Protein Tyrosine Kinase/RTK,"Harmine is a natural dual-specificity tyrosine phosphorylation-regulated kinase (DYRK)  inhibitor with anticancer and anti-inflammatory activities. Harmine has a high affinity of 5-HT2A serotonin receptor, with an Ki of 397 nM[1].",C13H12N2O,DMSO : ≥ 30 mg/mL (141.34 mM),10mM,Cancer; Neurological Disease,Phase 1,CC1=NC=CC2=C1NC3=C2C=CC(OC)=C3
,,,,,,,,,,,,,,,,twist1,metformin,HY-L025-69,A07,HY-B0627,Metformin,"1,1-Dimethylbiguanide",657-24-9,129.16,AMPK; Autophagy; Mitophagy,Autophagy; Epigenetics; PI3K/Akt/mTOR,"Metformin (1,1-Dimethylbiguanide) inhibits the mitochondrial respiratory chain in the liver, leading to activation of AMPK, enhancing insulin sensitivity for type 2 diabetes research. Metformin can cross the blood-brain barrier and triggers autophagy[1].",C4H11N5,H2O : 50 mg/mL (387.12 mM; Need ultrasonic); DMSO : 20.83 mg/mL (161.27 mM; Need ultrasonic),10mM,Cancer; Metabolic Disease; Cardiovascular Disease,Launched,NC(NC(N(C)C)=N)=N
,,,,,,,,,,,,,,,,twist1,curcumin,HY-L025-71,F04,HY-N0005,Curcumin,Diferuloylmethane; Natural Yellow 3; Turmeric yellow,458-37-7,368.38,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB,"Curcumin (Diferuloylmethane), a natural phenolic compound, is a p300/CREB-binding protein-specific inhibitor of acetyltransferase, represses the acetylation of histone/nonhistone proteins and histone acetyltransferase-dependent chromatin transcription. Curcumin shows inhibitory effects on NF-κB and MAPKs, and has diverse pharmacologic effects including anti-inflammatory, antioxidant, antiproliferative and antiangiogenic activities. Curcumin induces stabilization of Nrf2 protein through Keap1 cysteine modification.",C21H20O6,DMSO : 100 mg/mL (271.46 mM; Need ultrasonic),10mM,Cancer,Phase 4,O=C(CC(/C=C/C1=CC=C(O)C(OC)=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2
,,,,,,,,,,,,,,,,cmyc,jq1,HY-L025-31,F06,HY-13030,(+)-JQ-1,JQ1,1268524-70-4,456.99,Autophagy; Epigenetic Reader Domain; Ligands for Target Protein for PROTAC,Autophagy; Epigenetics; PROTAC,"(+)-JQ-1 (JQ1) is a potent, specific, and reversible BET bromodomain inhibitor, with IC50s of 77 and 33 nM for the first and second bromodomain (BRD4(1/2))[1]. (+)-JQ-1 also activates autophagy[2].",C23H25ClN4O2S,DMSO : ≥ 45 mg/mL (98.47 mM),10mM,Cancer,No Development Reported,O=C(C[C@H]1C2=NN=C(N2C3=C(C(C4=CC=C(C=C4)Cl)=N1)C(C)=C(S3)C)C)OC(C)(C)C
,,,,,,,,,,,,,,,,skp2,bortezomib,HY-L025-7,E07,HY-10227,Bortezomib,PS-341; LDP-341; NSC 681239,179324-69-7,384.24,Apoptosis; Autophagy; NF-κB; Proteasome,Apoptosis; Autophagy; Metabolic Enzyme/Protease; NF-κB,"Bortezomib (PS-341) is a reversible and selective proteasome inhibitor, and potently inhibits 20S proteasome (Ki=0.6 nM) by targeting a threonine residue. Bortezomib disrupts the cell cycle, induces apoptosis, and inhibits NF-κB. Bortezomib is the first proteasome inhibitor anticancer agent. Anti-cancer activity[1][2].",C19H25BN4O4,DMSO : 50 mg/mL (130.13 mM; Need ultrasonic); Ethanol : 66.67 mg/mL (173.51 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,Launched,OB(O)[C@H](CC(C)C)NC([C@@H](NC(C1=NC=CN=C1)=O)CC2=CC=CC=C2)=O
,,,,,,,,,,,,,,,,skp2,imatinib,HY-L025-64,D06,HY-50946,Imatinib (Mesylate),STI571 (Mesylate); CGP-57148B (Mesylate),220127-57-1,589.71,Autophagy; Bcr-Abl; c-Kit; PDGFR,Autophagy; Protein Tyrosine Kinase/RTK,"Imatinib Mesylate (STI571 Mesylate) is a tyrosine kinases inhibitor that inhibits c-Kit, Bcr-Abl, and PDGFR (IC50=100 nM) tyrosine kinases.",C30H35N7O4S,DMSO : 125 mg/mL (211.97 mM; Need ultrasonic); H2O : ≥ 50 mg/mL (84.79 mM),10mM,Cancer,Launched,O=S(O)(C)=O.O=C(NC1=CC=C(C(NC2=NC=CC(C3=CC=CN=C3)=N2)=C1)C)C4=CC=C(CN5CCN(CC5)C)C=C4
,,,,,,,,,,,,,,,,skp2,ly294002,HY-L025-4,F05,HY-10108,LY294002,,154447-36-6,307.34,Apoptosis; Autophagy; Casein Kinase; DNA-PK; PI3K,Apoptosis; Autophagy; Cell Cycle/DNA Damage; PI3K/Akt/mTOR; Stem Cell/Wnt,"LY294002 is a broad-spectrum inhibitor of PI3K with IC50s of 0.5, 0.57, and 0.97 μM for PI3Kα, PI3Kδ and PI3Kβ, respectively[1]. LY294002 also inhibits CK2 with an IC50 of 98 nM[2]. LY294002 is a competitive DNA-PK inhibitor that binds reversibly to the kinase domain of DNA-PK with an IC50 of 1.4?μM. LY294002 is an apoptosis activator[3].",C19H17NO3,DMSO : 50 mg/mL (162.69 mM; Need ultrasonic); Ethanol : 50 mg/mL (162.69 mM; Need ultrasonic),10mM,Cancer; Infection,No Development Reported,O=C1C=C(OC2=C1C=CC=C2C3=CC=CC=C3)N4CCOCC4
,,,,,,,,,,,,,,,,skp2,szl p1 41,HY-L025-1,F10,HY-100237,SZL P1-41,,222716-34-9,420.52,Apoptosis; E1/E2/E3 Enzyme,Apoptosis; Metabolic Enzyme/Protease,"SZL P1-41 is a specific Skp2 inhibitor, binds to the F-box domain of Skp2 to prevent Skp1 association and Skp2 SCF complex formation. SZL P1-41, like Skp2 deficiency, augments p27-mediated apoptosis/senescence, while it impairs Akt-driven glycolysis. Anti-tumor activities[1][2].",C24H24N2O3S,DMSO : 2.5 mg/mL (5.95 mM; Need ultrasonic),10mM,Cancer,No Development Reported,O=C1C(C2=NC3=CC=CC=C3S2)=COC4=C(CN5CCCCC5)C(O)=C(CC)C=C14
,,,,,,,,,,,,,,,,skp2,smip004,HY-L025-53,E05,HY-15694,SMIP004,,143360-00-3,205.3,Apoptosis; E1/E2/E3 Enzyme,Apoptosis; Metabolic Enzyme/Protease,"SMIP004 is a SKP2 E3 ligase inhibitor, which downregulates SKP2 and to stabilise p27. SMIP004 is a cancer cell selective apoptosis inducer of human prostate cancer cells[1][2].",C13H19NO,DMSO : ≥ 100 mg/mL (487.09 mM),10mM,Cancer,No Development Reported,CC1=C(NC(C)=O)C=CC(CCCC)=C1
,,,,,,,,,,,,,,,,skp2,curcumin,HY-L025-71,F04,HY-N0005,Curcumin,Diferuloylmethane; Natural Yellow 3; Turmeric yellow,458-37-7,368.38,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB,"Curcumin (Diferuloylmethane), a natural phenolic compound, is a p300/CREB-binding protein-specific inhibitor of acetyltransferase, represses the acetylation of histone/nonhistone proteins and histone acetyltransferase-dependent chromatin transcription. Curcumin shows inhibitory effects on NF-κB and MAPKs, and has diverse pharmacologic effects including anti-inflammatory, antioxidant, antiproliferative and antiangiogenic activities. Curcumin induces stabilization of Nrf2 protein through Keap1 cysteine modification.",C21H20O6,DMSO : 100 mg/mL (271.46 mM; Need ultrasonic),10mM,Cancer,Phase 4,O=C(CC(/C=C/C1=CC=C(O)C(OC)=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2
,,,,,,,,,,,,,,,,skp2,troglitazone,HY-L025-64,D02,HY-50935,Troglitazone,CS-045,97322-87-7,441.54,Apoptosis; Autophagy; Ferroptosis; PPAR,Apoptosis; Autophagy; Cell Cycle/DNA Damage; Vitamin D Related/Nuclear Receptor,"Troglitazone is a PPARγ agonist, with EC50s of 550 nM and 780 nM for human and murine?PPARγ receptor, respectively.",C24H27NO5S,DMSO : 125 mg/mL (283.10 mM; Need ultrasonic),10mM,Cancer,Launched,O=C(SC1CC(C=C2)=CC=C2OCC3(C)OC(C(CC3)=C4C)=C(C)C(C)=C4O)NC1=O
,,,,,,,,,,,,,,,,skp2,rapamycin,HY-L025-7,D11,HY-10219,Rapamycin,Sirolimus; AY-22989,53123-88-9,914.17,Antibiotic; Autophagy; Bacterial; Endogenous Metabolite; FKBP; Fungal; mTOR,Anti-infection; Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; PI3K/Akt/mTOR,"Rapamycin (Sirolimus; AY 22989) is a potent and specific mTOR inhibitor with an IC50 of 0.1 nM in HEK293 cells. Rapamycin binds to FKBP12 and specifically acts as an allosteric inhibitor of mTORC1[1]. Rapamycin is an autophagy activator, an immunosuppressant[2].",C51H79NO13,DMSO : 125 mg/mL (136.74 mM; Need ultrasonic); Ethanol : 50 mg/mL (54.69 mM; Need ultrasonic),10mM,Cancer,Launched,O=C([C@@]1(O)[C@@H](CC[C@@H](C[C@@H](/C(C)=C/C=C/C=C/[C@H](C[C@@H](C)C([C@@H]([C@@H](/C(C)=C/[C@H]2C)O)OC)=O)C)OC)O1)C)C(N3CCCC[C@H]3C(O[C@@H](CC2=O)[C@@H](C[C@H]4C[C@H]([C@H](O)CC4)OC)C)=O)=O
,,,,,,,,,,,,,,,,yap taz,verteporfin,HY-L025-66,F07,HY-B0146,Verteporfin,CL 318952,129497-78-5,718.79,Apoptosis; Autophagy; YAP,Apoptosis; Autophagy; Stem Cell/Wnt,Verteporfin (CL 318952) is a photosensitizer for photodynamic therapy to eliminate the abnormal blood vessels in the eye associated with conditions such as age-related macular degeneration. Verteporfin is a YAP inhibitor which disrupts YAP-TEAD interactions. Verteporfin induces cell apoptosis[1]. Verteporfinis an autophagy inhibitor that blocks?autophagy?at an early stage by inhibiting autophagosome formation[3].,C41H42N4O8,DMF : 10 mg/mL (13.91 mM; ultrasonic and warming and heat to 60°C); DMSO : 100 mg/mL (139.12 mM; Need ultrasonic),10mM,Cancer,Launched,C[C@]1(/C2=C/C(N3)=C4C)C(C(/C=C(C(C)=C/5C=C)\NC5=C/C6=N/C(C(CCC(OC)=O)=C6C)=C\C3=C4CCC(O)=O)=N2)=CC=C(C(OC)=O)[C@H]1C(OC)=O.C[C@]7(/C8=C/C(N9)=C%10C)C(C(/C=C(C(C)=C/%11C=C)\NC%11=C/C%12=N/C(C(CCC(O)=O)=C%12C)=C\C9=C%10CCC(OC)=O)=N8)=CC=C(C(OC)=O)[C@H]7C(OC)=O
,,,,,,,,,,,,,,,,klf5,ml264,HY-L025-63,A07,HY-19994,ML264,,1550008-55-3,384.88,KLF,MAPK/ERK Pathway,ML264 is an antitumor agent that potently and selectively inhibits Krüppel-like factor five (KLF5) expression.,C17H21ClN2O4S,DMSO : ≥ 100 mg/mL (259.82 mM),10mM,Cancer,No Development Reported,O=C(NCC(N(C)C(CC1)CCS1(=O)=O)=O)/C=C/C2=CC=CC(Cl)=C2
,,,,,,,,,,,,,,,,iap,bv6,HY-L025-56,G10,HY-16701,BV6,,1001600-56-1,1205.57,IAP,Apoptosis,"BV6 is an antagonist of cIAP1 and XIAP, members of the inhibitors of apoptosis (IAP) family.",C70H96N10O8,DMSO : ≥ 58 mg/mL (48.11 mM),10mM,Cancer,No Development Reported,O=C(NCCCCCCNC([C@@H](NC([C@H](CCC1)N1C([C@H](C2CCCCC2)NC([C@H](C)NC)=O)=O)=O)C(C3=CC=CC=C3)C4=CC=CC=C4)=O)[C@@H](NC([C@H](CCC5)N5C([C@H](C6CCCCC6)NC([C@H](C)NC)=O)=O)=O)C(C7=CC=CC=C7)C8=CC=CC=C8
,,,,,,,,,,,,,,,,iap,birinapant,HY-L025-56,E06,HY-16591,Birinapant,TL32711,1260251-31-7,806.94,Apoptosis; HIV; IAP,Anti-infection; Apoptosis,"Birinapant (TL32711), a bivalent Smac mimetic, is a potent antagonist for XIAP and cIAP1 with Kds of 45 nM and less than 1 nM, respectively. Birinapant (TL32711) induces the autoubiquitylation and proteasomal degradation of cIAP1 and cIAP2 in intact cells, which results in formation of a RIPK1: caspase-8 complex, caspase-8 activation, and induction of tumor cell death. Birinapant (TL32711) targets TRAF2-associated cIAPs and abrogates TNF-induced NF-κB activation.",C42H56F2N8O6,DMSO : 125 mg/mL (154.91 mM; Need ultrasonic),10mM,Cancer,Phase 2,FC1=CC2=C(C=C1)C(C[C@H]3N(C([C@@H](NC([C@@H](NC)C)=O)CC)=O)C[C@@H](O)C3)=C(C(N4)=C(C[C@H]5N(C([C@@H](NC([C@@H](NC)C)=O)CC)=O)C[C@@H](O)C5)C6=C4C=C(F)C=C6)N2
,,,,,,,,,,,,,,,,iap,azd5582,HY-L025-28,B10,HY-12600,AZD5582,,1258392-53-8,1015.29,Apoptosis; IAP,Apoptosis,"AZD5582 is an antagonist of the inhibitor of apoptosis proteins (IAPs), which binds to the BIR3 domains cIAP1, cIAP2, and XIAP with IC50s of 15, 21, and 15 nM, respectively. AZD5582 induces apoptosis[1].",C58H78N8O8,DMSO : ≥ 66.25 mg/mL (65.25 mM); H2O : < 0.1 mg/mL (ultrasonic;warming;heat to 60°C) (insoluble),10mM,Cancer,No Development Reported,CN[C@@H](C)C(N[C@H](C(N1[C@H](C(N[C@H]2C3=CC=CC=C3C[C@H]2OCC#CC#CCO[C@H]4[C@@H](NC([C@@H]5CCCN5C([C@@H](NC([C@H](C)NC)=O)C6CCCCC6)=O)=O)C(C=CC=C7)=C7C4)=O)CCC1)=O)C8CCCCC8)=O
,,,,,,,,,,,,,,,,iap,curcumin,HY-L025-71,F04,HY-N0005,Curcumin,Diferuloylmethane; Natural Yellow 3; Turmeric yellow,458-37-7,368.38,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB,"Curcumin (Diferuloylmethane), a natural phenolic compound, is a p300/CREB-binding protein-specific inhibitor of acetyltransferase, represses the acetylation of histone/nonhistone proteins and histone acetyltransferase-dependent chromatin transcription. Curcumin shows inhibitory effects on NF-κB and MAPKs, and has diverse pharmacologic effects including anti-inflammatory, antioxidant, antiproliferative and antiangiogenic activities. Curcumin induces stabilization of Nrf2 protein through Keap1 cysteine modification.",C21H20O6,DMSO : 100 mg/mL (271.46 mM; Need ultrasonic),10mM,Cancer,Phase 4,O=C(CC(/C=C/C1=CC=C(O)C(OC)=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2
,,,,,,,,,,,,,,,,iap,at 406,HY-L025-52,A11,HY-15454,Xevinapant,AT-406; Debio 1143; SM-406,1071992-99-8,561.71,Apoptosis; IAP,Apoptosis,"Xevinapant (AT-406) is a potent and orally bioavailable Smac mimetic and an antagonist of IAPs, and it binds to XIAP, cIAP1, and cIAP2 proteins with Ki of 66.4, 1.9, and 5.1 nM, respectively.",C32H43N5O4,DMSO : 100 mg/mL (178.03 mM; Need ultrasonic),10mM,Cancer,Phase 3,O=C([C@@H]1CC[C@@](CCN(C(CC(C)C)=O)C[C@@H]2NC([C@@H](NC)C)=O)([H])N1C2=O)NC(C3=CC=CC=C3)C4=CC=CC=C4
,,,,,,,,,,,,,,,,iap,lcl161,HY-L025-52,F05,HY-15518,LCL161,,1005342-46-0,500.63,IAP,Apoptosis,"LCL161 is a IAP inhibitor which inhibits XIAP in HEK293 cell and cIAP1 in MDA-MB-231 cell with IC50s of 35 and 0.4 nM, respectively.",C26H33FN4O3S,DMSO : 100 mg/mL (199.75 mM; Need ultrasonic),10mM,Cancer,Phase 2,C[C@H](NC)C(N[C@@H](C1CCCCC1)C(N2[C@H](C3=NC(C(C4=CC=C(F)C=C4)=O)=CS3)CCC2)=O)=O
,,,,,,,,,,,,,,,,iap,gdc 0152,HY-L025-37,H09,HY-13638,GDC-0152,,873652-48-3,498.64,IAP,Apoptosis,"GDC-0152 is a potent IAPs inhibitor, and binds to the BIR3 domains of XIAP, cIAP1, cIAP2 and the BIR domain of ML-IAP with Ki values of 28 nM, 17 nM, 43 nM and 14 nM, respectively.",C25H34N6O3S,Ethanol : 50 mg/mL (100.27 mM; Need ultrasonic); DMSO : 50 mg/mL (100.27 mM; Need ultrasonic),10mM,Cancer,Phase 1,O=C(N1[C@H](C(NC2=C(C3=CC=CC=C3)N=NS2)=O)CCC1)[C@H](C4CCCCC4)NC([C@H](C)NC)=O
,,,,,,,,,,,,,,,,foxp3,melatonin,HY-L025-66,B09,HY-B0075,Melatonin,N-Acetyl-5-methoxytryptamine,73-31-4,232.28,Apoptosis; Autophagy; Endogenous Metabolite; Melatonin Receptor; Mitophagy,Apoptosis; Autophagy; GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling,Melatonin is a hormone made by the pineal gland that can activates melatonin receptor. Melatonin plays a role in sleep and possesses important antioxidative and anti-inflammatory properties[1][2][3]. Melatonin is a novel selective ATF-6 inhibitor and induces human hepatoma cell apoptosis through COX-2 downregulation[4]. Melatonin attenuates palmitic acid-induced (HY-N0830) mouse granulosa cells apoptosis via endoplasmic reticulum stress[5].,C13H16N2O2,DMSO : 100 mg/mL (430.51 mM; Need ultrasonic); Ethanol : 12.5 mg/mL (53.81 mM; Need ultrasonic); H2O : 1.1 mg/mL (4.74 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology; Neurological Disease,Launched,CC(NCCC1=CNC2=C1C=C(OC)C=C2)=O
,,,,,,,,,,,,,,,,foxp3,resveratrol,HY-L025-56,C11,HY-16561,Resveratrol,trans-Resveratrol; SRT501,501-36-0,228.24,Antibiotic; Apoptosis; Autophagy; Bacterial; Fungal; IKK; Keap1-Nrf2; Mitophagy; Sirtuin,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics; NF-κB,"Resveratrol (trans-Resveratrol; SRT501), a natural polyphenolic phytoalexin that possesses anti-oxidant, anti-inflammatory, cardioprotective, and anti-cancer properties. Resveratrol (SRT 501) has a wide spectrum of targets including mTOR, JAK, β-amyloid, Adenylyl cyclase, IKKβ, DNA polymerase. Resveratrol also is a specific SIRT1 activator[1][2][3][4]. Resveratrol is a potent pregnane X receptor (PXR) inhibitor[5]. Resveratrol is an Nrf2 activator, ameliorates aging-related progressive renal injury in mice model[6]. Resveratrol increases production of NO in endothelial cells[7].",C14H12O3,DMSO : 100 mg/mL (438.14 mM; Need ultrasonic); Ethanol : 50 mg/mL (219.07 mM; Need ultrasonic),10mM,Cancer; Infection; Inflammation/Immunology,Launched,OC1=CC=C(/C=C/C2=CC(O)=CC(O)=C2)C=C1
,,,,,,,,,,,,,,,,foxp3,dapt,HY-L025-31,F03,HY-13027,DAPT,GSI-IX,208255-80-5,432.46,Amyloid-β; Apoptosis; Autophagy; Notch; γ-secretase,Apoptosis; Autophagy; Neuronal Signaling; Stem Cell/Wnt,"DAPT (GSI-IX) is a potent and orally active γ-secretase inhibitor with IC50s of 115 nM and 200 nM for total amyloid-β (Aβ) and Aβ42, respectively. DAPT inhibits the activation of Notch 1 signaling and induces cell differentiation. DAPT also induces autophagy and apoptosis. DAPT has neuroprotection activity and has the potential for autoimmune and lymphoproliferative diseases, degenerative disease and cancers treatment[1][2].",C23H26F2N2O4,DMSO : 62.5 mg/mL (144.52 mM; Need ultrasonic); Ethanol : 10 mg/mL (23.12 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology; Neurological Disease,No Development Reported,FC1=CC(F)=CC(CC(N[C@H](C(N[C@H](C(OC(C)(C)C)=O)C2=CC=CC=C2)=O)C)=O)=C1
,,,,,,,,,,,,,,,,foxp3,baicalin,HY-L025-73,B03,HY-N0197,Baicalin,Baicalein 7-O-β-D-glucuronide,21967-41-9,446.36,Autophagy; HIV; NF-κB,Anti-infection; Autophagy; NF-κB,"Baicalin, as a flavonoid glycoside, is an allosteric carnitine palmityl transferase 1 (CPT1) activator. Baicalin reduces the expression of NF-κB[1][2][3].",C21H18O11,DMSO : ≥ 100 mg/mL (224.03 mM); H2O : < 0.1 mg/mL (ultrasonic) (insoluble),10mM,Inflammation/Immunology; Cancer,Launched,O[C@H]([C@H]([C@@H]([C@@H](C(O)=O)O1)O)O)[C@@H]1OC2=C(O)C(O)=C3C(C=C(C4=CC=CC=C4)OC3=C2)=O
,,,,,,,,,,,,,,,,foxp3,curcumin,HY-L025-71,F04,HY-N0005,Curcumin,Diferuloylmethane; Natural Yellow 3; Turmeric yellow,458-37-7,368.38,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB,"Curcumin (Diferuloylmethane), a natural phenolic compound, is a p300/CREB-binding protein-specific inhibitor of acetyltransferase, represses the acetylation of histone/nonhistone proteins and histone acetyltransferase-dependent chromatin transcription. Curcumin shows inhibitory effects on NF-κB and MAPKs, and has diverse pharmacologic effects including anti-inflammatory, antioxidant, antiproliferative and antiangiogenic activities. Curcumin induces stabilization of Nrf2 protein through Keap1 cysteine modification.",C21H20O6,DMSO : 100 mg/mL (271.46 mM; Need ultrasonic),10mM,Cancer,Phase 4,O=C(CC(/C=C/C1=CC=C(O)C(OC)=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2
,,,,,,,,,,,,,,,,foxp3,rapamycin,HY-L025-7,D11,HY-10219,Rapamycin,Sirolimus; AY-22989,53123-88-9,914.17,Antibiotic; Autophagy; Bacterial; Endogenous Metabolite; FKBP; Fungal; mTOR,Anti-infection; Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; PI3K/Akt/mTOR,"Rapamycin (Sirolimus; AY 22989) is a potent and specific mTOR inhibitor with an IC50 of 0.1 nM in HEK293 cells. Rapamycin binds to FKBP12 and specifically acts as an allosteric inhibitor of mTORC1[1]. Rapamycin is an autophagy activator, an immunosuppressant[2].",C51H79NO13,DMSO : 125 mg/mL (136.74 mM; Need ultrasonic); Ethanol : 50 mg/mL (54.69 mM; Need ultrasonic),10mM,Cancer,Launched,O=C([C@@]1(O)[C@@H](CC[C@@H](C[C@@H](/C(C)=C/C=C/C=C/[C@H](C[C@@H](C)C([C@@H]([C@@H](/C(C)=C/[C@H]2C)O)OC)=O)C)OC)O1)C)C(N3CCCC[C@H]3C(O[C@@H](CC2=O)[C@@H](C[C@H]4C[C@H]([C@H](O)CC4)OC)C)=O)=O
